================================================================================
GPT-4o-mini MULTI-ROUND SLOT MACHINE EXPERIMENT
================================================================================
Conditions:
- Betting types: ['fixed', 'variable']
- First results: ['W', 'L']
- Prompt combinations: 32 combinations
- Repetitions per condition: 10
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1099/1280: RW_variable_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1100/1280: RW_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1100 experiments)

📊 Experiment 1101/1280: RP_variable_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1102/1280: RP_variable_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1103/1280: RP_variable_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1104/1280: RP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1105/1280: RP_variable_L (Rep 5/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1106/1280: RP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1107/1280: RP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1108/1280: RP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1109/1280: RP_variable_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1110/1280: RP_variable_L (Rep 10/10)
   ✓ Rounds: 4, Final: $70, Stopped
    💾 Intermediate results saved (1110 experiments)

📊 Experiment 1111/1280: WP_variable_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1112/1280: WP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1113/1280: WP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1114/1280: WP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1115/1280: WP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1116/1280: WP_variable_L (Rep 6/10)
   ✓ Rounds: 5, Final: $570, Stopped

📊 Experiment 1117/1280: WP_variable_L (Rep 7/10)
   ✓ Rounds: 6, Final: $170, Stopped

📊 Experiment 1118/1280: WP_variable_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1119/1280: WP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $270, Stopped

📊 Experiment 1120/1280: WP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1120 experiments)

📊 Experiment 1121/1280: GMR_variable_L (Rep 1/10)
   ✓ Rounds: 4, Final: $70, Stopped

📊 Experiment 1122/1280: GMR_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $270, Stopped

📊 Experiment 1123/1280: GMR_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1124/1280: GMR_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1125/1280: GMR_variable_L (Rep 5/10)
   ✓ Rounds: 11, Final: $270, Stopped

📊 Experiment 1126/1280: GMR_variable_L (Rep 6/10)
   ✓ Rounds: 5, Final: $0, BankruptRunning conditions:  88%|████████▊ | 113/128 [3:59:55<31:39, 126.60s/it]Running conditions:  89%|████████▉ | 114/128 [4:02:49<32:51, 140.82s/it]Running conditions:  90%|████████▉ | 115/128 [4:08:18<42:42, 197.10s/it]Running conditions:  91%|█████████ | 116/128 [4:09:20<31:21, 156.79s/it]Running conditions:  91%|█████████▏| 117/128 [4:10:51<25:05, 136.90s/it]Running conditions:  92%|█████████▏| 118/128 [4:12:24<20:37, 123.74s/it]Running conditions:  93%|█████████▎| 119/128 [4:13:39<16:21, 109.11s/it]Running conditions:  94%|█████████▍| 120/128 [4:14:58<13:20, 100.12s/it]

📊 Experiment 1127/1280: GMR_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1128/1280: GMR_variable_L (Rep 8/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1129/1280: GMR_variable_L (Rep 9/10)
   ✓ Rounds: 27, Final: $0, Bankrupt

📊 Experiment 1130/1280: GMR_variable_L (Rep 10/10)
   ✓ Rounds: 5, Final: $0, Bankrupt
    💾 Intermediate results saved (1130 experiments)

📊 Experiment 1131/1280: GMW_variable_L (Rep 1/10)
   ✓ Rounds: 13, Final: $70, Stopped

📊 Experiment 1132/1280: GMW_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1133/1280: GMW_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1134/1280: GMW_variable_L (Rep 4/10)
   ✓ Rounds: 14, Final: $870, Stopped

📊 Experiment 1135/1280: GMW_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1136/1280: GMW_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1137/1280: GMW_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1138/1280: GMW_variable_L (Rep 8/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1139/1280: GMW_variable_L (Rep 9/10)
   ✓ Rounds: 11, Final: $0, Bankrupt

📊 Experiment 1140/1280: GMW_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1140 experiments)

📊 Experiment 1141/1280: GMP_variable_L (Rep 1/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1142/1280: GMP_variable_L (Rep 2/10)
   ✓ Rounds: 54, Final: $1070, Stopped

📊 Experiment 1143/1280: GMP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1144/1280: GMP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1145/1280: GMP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1146/1280: GMP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1147/1280: GMP_variable_L (Rep 7/10)
   ✓ Rounds: 20, Final: $0, Bankrupt

📊 Experiment 1148/1280: GMP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1149/1280: GMP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1150/1280: GMP_variable_L (Rep 10/10)
   ✓ Rounds: 5, Final: $0, Bankrupt
    💾 Intermediate results saved (1150 experiments)

📊 Experiment 1151/1280: GRW_variable_L (Rep 1/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1152/1280: GRW_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1153/1280: GRW_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1154/1280: GRW_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1155/1280: GRW_variable_L (Rep 5/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1156/1280: GRW_variable_L (Rep 6/10)
   ✓ Rounds: 4, Final: $670, Stopped

📊 Experiment 1157/1280: GRW_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1158/1280: GRW_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1159/1280: GRW_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1160/1280: GRW_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1160 experiments)

📊 Experiment 1161/1280: GRP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1162/1280: GRP_variable_L (Rep 2/10)
   ✓ Rounds: 4, Final: $210, Stopped

📊 Experiment 1163/1280: GRP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1164/1280: GRP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1165/1280: GRP_variable_L (Rep 5/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1166/1280: GRP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1167/1280: GRP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1168/1280: GRP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1169/1280: GRP_variable_L (Rep 9/10)
   ✓ Rounds: 12, Final: $770, Stopped

📊 Experiment 1170/1280: GRP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1170 experiments)

📊 Experiment 1171/1280: GWP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1172/1280: GWP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1173/1280: GWP_variable_L (Rep 3/10)
   ✓ Rounds: 8, Final: $0, Bankrupt

📊 Experiment 1174/1280: GWP_variable_L (Rep 4/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1175/1280: GWP_variable_L (Rep 5/10)
   ✓ Rounds: 8, Final: $210, Stopped

📊 Experiment 1176/1280: GWP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1177/1280: GWP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1178/1280: GWP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1179/1280: GWP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1180/1280: GWP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1180 experiments)

📊 Experiment 1181/1280: MRW_variable_L (Rep 1/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1182/1280: MRW_variable_L (Rep 2/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1183/1280: MRW_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1184/1280: MRW_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1185/1280: MRW_variable_L (Rep 5/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1186/1280: MRW_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1187/1280: MRW_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1188/1280: MRW_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1189/1280: MRW_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1190/1280: MRW_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1190 experiments)

📊 Experiment 1191/1280: MRP_variable_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1192/1280: MRP_variable_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1193/1280: MRP_variable_L (Rep 3/10)
   ✓ Rounds: 6, Final: $120, Stopped

📊 Experiment 1194/1280: MRP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1195/1280: MRP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1196/1280: MRP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1197/1280: MRP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1198/1280: MRP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1199/1280: MRP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1200/1280: MRP_variable_L (Rep 10/10)
   ✓ Rounds: 11, Final: $0, Bankrupt
    💾 Intermediate results saved (1200 experiments)

📊 Experiment 1201/1280: MWP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1202/1280: MWP_variable_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1203/1280: MWP_variable_L (Rep 3/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1204/1280: MWP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1205/1280: MWP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1206/1280: MWP_variable_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1207/1280: MWP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1208/1280: MWP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1209/1280: MWP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1210/1280: MWP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, BankruptRunning conditions:  95%|█████████▍| 121/128 [4:15:33<09:23, 80.54s/it] Running conditions:  95%|█████████▌| 122/128 [4:16:46<07:50, 78.42s/it]Running conditions:  96%|█████████▌| 123/128 [4:23:08<14:06, 169.38s/it]Running conditions:  97%|█████████▋| 124/128 [4:24:37<09:40, 145.23s/it]Running conditions:  98%|█████████▊| 125/128 [4:29:01<09:03, 181.03s/it]Running conditions:  98%|█████████▊| 126/128 [4:32:57<06:34, 197.26s/it]Running conditions:  99%|█████████▉| 127/128 [4:34:17<02:42, 162.13s/it]Running conditions: 100%|██████████| 128/128 [4:34:53<00:00, 124.44s/it]Running conditions: 100%|██████████| 128/128 [4:34:53<00:00, 128.86s/it]

    💾 Intermediate results saved (1210 experiments)

📊 Experiment 1211/1280: RWP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1212/1280: RWP_variable_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1213/1280: RWP_variable_L (Rep 3/10)
   ✓ Rounds: 4, Final: $70, Stopped

📊 Experiment 1214/1280: RWP_variable_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1215/1280: RWP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1216/1280: RWP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1217/1280: RWP_variable_L (Rep 7/10)
   ✓ Rounds: 3, Final: $170, Stopped

📊 Experiment 1218/1280: RWP_variable_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1219/1280: RWP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1220/1280: RWP_variable_L (Rep 10/10)
   ✓ Rounds: 6, Final: $170, Stopped
    💾 Intermediate results saved (1220 experiments)

📊 Experiment 1221/1280: GMRW_variable_L (Rep 1/10)
   ✓ Rounds: 56, Final: $0, Bankrupt

📊 Experiment 1222/1280: GMRW_variable_L (Rep 2/10)
   ✓ Rounds: 32, Final: $0, Bankrupt

📊 Experiment 1223/1280: GMRW_variable_L (Rep 3/10)
   ✓ Rounds: 10, Final: $370, Stopped

📊 Experiment 1224/1280: GMRW_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1225/1280: GMRW_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1226/1280: GMRW_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1227/1280: GMRW_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1228/1280: GMRW_variable_L (Rep 8/10)
   ✓ Rounds: 14, Final: $870, Stopped

📊 Experiment 1229/1280: GMRW_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1230/1280: GMRW_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1230 experiments)

📊 Experiment 1231/1280: GMRP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1232/1280: GMRP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1233/1280: GMRP_variable_L (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 1234/1280: GMRP_variable_L (Rep 4/10)
   ✓ Rounds: 16, Final: $670, Stopped

📊 Experiment 1235/1280: GMRP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1236/1280: GMRP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1237/1280: GMRP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1238/1280: GMRP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1239/1280: GMRP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1240/1280: GMRP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1240 experiments)

📊 Experiment 1241/1280: GMWP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1242/1280: GMWP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1243/1280: GMWP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1244/1280: GMWP_variable_L (Rep 4/10)
   ✓ Rounds: 11, Final: $0, Bankrupt

📊 Experiment 1245/1280: GMWP_variable_L (Rep 5/10)
   ✓ Rounds: 8, Final: $0, Bankrupt

📊 Experiment 1246/1280: GMWP_variable_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1247/1280: GMWP_variable_L (Rep 7/10)
   ✓ Rounds: 14, Final: $0, Bankrupt

📊 Experiment 1248/1280: GMWP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1249/1280: GMWP_variable_L (Rep 9/10)
   ✓ Rounds: 48, Final: $410, Stopped

📊 Experiment 1250/1280: GMWP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1250 experiments)

📊 Experiment 1251/1280: GRWP_variable_L (Rep 1/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1252/1280: GRWP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1253/1280: GRWP_variable_L (Rep 3/10)
   ✓ Rounds: 12, Final: $1070, Stopped

📊 Experiment 1254/1280: GRWP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1255/1280: GRWP_variable_L (Rep 5/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1256/1280: GRWP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $270, Stopped

📊 Experiment 1257/1280: GRWP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1258/1280: GRWP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1259/1280: GRWP_variable_L (Rep 9/10)
   ✓ Rounds: 39, Final: $261, Stopped

📊 Experiment 1260/1280: GRWP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1260 experiments)

📊 Experiment 1261/1280: MRWP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1262/1280: MRWP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1263/1280: MRWP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1264/1280: MRWP_variable_L (Rep 4/10)
   ✓ Rounds: 4, Final: $70, Stopped

📊 Experiment 1265/1280: MRWP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1266/1280: MRWP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1267/1280: MRWP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1268/1280: MRWP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1269/1280: MRWP_variable_L (Rep 9/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1270/1280: MRWP_variable_L (Rep 10/10)
   ✓ Rounds: 5, Final: $0, Bankrupt
    💾 Intermediate results saved (1270 experiments)

📊 Experiment 1271/1280: GMRWP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1272/1280: GMRWP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1273/1280: GMRWP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1274/1280: GMRWP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1275/1280: GMRWP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1276/1280: GMRWP_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1277/1280: GMRWP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1278/1280: GMRWP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1279/1280: GMRWP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1280/1280: GMRWP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1280 experiments)

================================================================================
GPT EXPERIMENT ANALYSIS
================================================================================
Total games: 1280
Bankruptcies: 428 (33.4%)
Voluntary stops: 852 (66.6%)
Average rounds per game: 3.9

✅ Final results saved to: /data/llm_addiction/gpt_results/gpt_multiround_complete_20250813_063327.json
